category,key,value,frequency,context/filter
Eyewear,Brand Name,INBIKE,1,context
Eyewear,Brand Name,POLISI,28,filter
Eyewear,Brand Name,MELIFE,5,filter
Eyewear,Brand Name,WoSporT,7,filter
Eyewear,Brand Name,ZONEBIKE,4,filter
Eyewear,Brand Name,ROCKBROS,10,filter
Eyewear,Brand Name,ROBESBON,4,filter
Eyewear,Brand Name,Zacro,1,context
Eyewear,Brand Name,OSHOW,1,context
Eyewear,Brand Name,NEWBOLER,5,filter
Eyewear,Brand Name,COPOZZ,2,filter
Eyewear,Brand Name,PHMAX,2,filter
Eyewear,Brand Name,OBAOLAY,5,filter
Eyewear,Brand Name,Gurensye,1,context
Eyewear,Brand Name,KUTOOK,1,context
Eyewear,Brand Name,Anyfashion,1,context
Eyewear,Brand Name,Enkeeo,1,context
Eyewear,Brand Name,Balight,1,context
Eyewear,Brand Name,iguardor,1,context
Eyewear,Brand Name,WOSAWE,2,context
Eyewear,Brand Name,CoolChange,1,context
Eyewear,Brand Name,EYCI,1,context
Eyewear,Brand Name,Reedocks,1,context
Eyewear,Brand Name,Naga siren,1,context
Eyewear,Brand Name,SKTOO,1,context
Eyewear,Brand Name,ZOKARE,1,context
Eyewear,Brand Name,NANDN,1,context
Eyewear,Brand Name,LY-100,1,context
Eyewear,Brand Name,Long Keeper,1,context
Eyewear,Brand Name,Benice,2,context
Eyewear,Brand Name,SOARED,1,context
Eyewear,Brand Name,LumiParty,1,context
Eyewear,Brand Name,CYCFORCE,1,context
Eyewear,Brand Name,AGEKUSL,1,context
Eyewear,Brand Name,GEORGEM,1,context
Eyewear,Lenses Optical Attribute,Photochromic,2,filter
Eyewear,Lenses Optical Attribute,Polarized,30,filter
Eyewear,Lenses Optical Attribute,UV400,40,filter
Eyewear,Lenses Optical Attribute,Anti-Fog,2,filter
Eyewear,Lenses Optical Attribute,UV400 Protection,1,context
Eyewear,Lenses Optical Attribute,Goggle,3,filter
Eyewear,Lenses Optical Attribute,-,6,filter
Eyewear,Lenses Optical Attribute,Goggle Bike Eyewear,1,context
Eyewear,Lenses Optical Attribute,Skiing Eyewear,1,context
Eyewear,Lenses Optical Attribute,Skiing,1,context
