,input,category,target_scores
0, Running glasses 3 Lens fast Photochromic Cycling Sunglasses Goggles Men Sport Road Mtb Bike Discoloration Glasses Eyewear,Eyewear,"{'Brand Name': {'n/a': 1}, 'Lenses Optical Attribute': {'Photochromic': 1}, 'Gender': {'n/a': 1}, 'Model Number': {'Discoloration': 1}, 'Sport Type': {'Cycling': 1}}"
1,INBIKE Unisex Multi UV400 Bicycle Glasses with Belt Sport Cycling Sunglasses Polarized Photochromic Eyewear Men Ciclismo Glasses,Eyewear,"{'Sport Type': {'Cycling': 1}, 'Gender': {'Unisex': 1}, 'Lenses Optical Attribute': {'Polarized': 1}, 'Brand Name': {'INBIKE': 1}, 'Frame Color': {'Multi': 1}, 'Name': {'Bicycle Glasses': 1, 'Sport Cycling Sunglasses': 1, ' Photochromic Eyewear Men': 1}}"
2,world wind #3001Unisex Cycling Sunglasses Polarized Cycling Eyewear,Eyewear,"{'Sport Type': {'Cycling': 1}, 'Gender': {'Unisex': 1}}"
3,POLISI Men Women Ski Goggles Snow Skiing UV400 Spheral Anti-Fog Lens Eyewear Winter Windproof Snowboard Esqui Skate Glasses,Eyewear,"{'Sport Type': {'Skiing': 1}, 'Lenses Optical Attribute': {'UV400': 1}, 'Gender': {'Men': 1}, 'Brand Name': {'POLISI': 1}}"
4,WUKUN Badman Outdoor Sport Polarized Glasses Alloy Frame Cycling Glasses Bike Goggles Riding Eyewear Oculos Gafas OO6020,Eyewear,"{'Sport Type': {'Cycling': 1}, 'Frame Material': {'Alloy': 1}, 'Lenses Optical Attribute': {'Polarized': 1}}"
5,NEW Unisex Sport Sun Glasses Cycling Bicycle Bike Outdoor Eyewear Men Women Sunglasses  Goggle Gifts ,Eyewear,"{'Gender': {'Men': 1}, 'Eyewear Type': {'Sunglasses': 1}}"
6,MELIFE Polarized UV400 Skiing Glasses Cycling Bike Eyewear Unisex Sports Sunglasses Fishing Men Outdoor Motocross Eyewear Goggle,Eyewear,"{'Sport Type': {'Skiing': 1}, 'Brand Name': {'MELIFE': 1}, 'Lenses Optical Attribute': {'UV400': 1}}"
7,Peter Sagan Cycling Glasses Men Bicycle Sunglasses Women Big Frame Goggles Bike Eyewear Sports Glasses UV400 Gafas Ciclismo,Eyewear,"{'Lenses Optical Attribute': {'UV400': 1}, 'Sport Type': {'Cycling': 1}}"
8,New Cycling Glasses Bike Eyewear Polarized Sports Sunglasses MTB Bicycle Goggles Riding Fishing Cycling Eyewear Myopia C108G,Eyewear,"{'Brand Name': {'n/a': 1}, 'Lenses Optical Attribute': {'Polarized': 1}, 'Model Number': {'C108G': 1}, 'Sport Type': {'Cycling': 1}}"
9,2018 Bestselling Cycling Glasses UV 400 Mountain Bike Eyewear Sports Sunglasses Bicycle Goggles Drop Shipping  Available,Eyewear,"{'Lens Height': {'n/a': 1}, 'Sport Type': {'Cycling': 1}}"
10,WoSporT Men Women Ski Goggles UV 400 Anti-Fog Ski Eyewear Winter Snowboard Glasses Skiing Goggles Snowboarding Glasses,Eyewear,"{'Sport Type': {'Skiing': 1}, 'Gender': {'Men': 1}, 'Brand Name': {'WoSporT': 1}}"
11,VICTGOAL Polarized Cycling Glasses UV400 Outdoor Sport Men Women Running Cycling Sunglasses Mountain Bike Eyewear 5 Lens Goggles,Eyewear,"{'Sport Type': {'Cycling': 1}, 'Gender': {'Men': 1}, 'Function': {'Cycling Glasses': 1}}"
12,Snowboard Ski Goggles Men Women Anti-fog Snow Glasses Eyewear gafas snow okulary narciarskie Skiing Snowboard Goggles Glasses,Eyewear,"{'Sport Type': {'Skiing': 1}, 'Gender': {'Men': 1}, 'Frame Color': {'n/a': 1}, 'Model Number': {'n/a': 1}}"
13,Men/Women Polarized Skiing Eyewear Ski Goggles Anti-UV/Anti Glare/Windproof Glasses Bike Cycling Sportswear Grey/Colorful/Yellow,Eyewear,"{'Sport Type': {'Skiing': 1}, 'Gender': {'Men': 1}}"
14,2018 New Cycling Eyewear Unisex Outdoor Sunglass UV400 Bike Cycling Glasses Bicycle Sports Sun Glasses Riding Goggles,Eyewear,"{'Sport Type': {'Cycling': 1}, 'Gender': {'Unisex': 1}}"
15,Sport Glasses Cycling Eyewear Fishing Riding Bicycle Sunglasses Men Women Mountain Bike Goggles Tactical,Eyewear,"{'Sport Type': {'Cycling': 1}, 'Lens Width': {'n/a': 1}, 'Model Number': {'n/a': 1}}"
16,POLISI Winter Outdoor Skiing Glasses Polarized Snowmobile Snow Eyewear Men Women Double Layer Anti-Fog Lens Snowboard Goggles,Eyewear,"{'Brand Name': {'POLISI': 1}, 'Lenses Optical Attribute': {'Polarized': 1}, 'Gender': {'Men': 1}, 'Sport Type': {'Skiing': 1}}"
17,Brand Polarized Sports Men Sunglasses Road Cycling Glasses Mountain Bike Bicycle Riding Protection Goggles Mtb Unisex Eyewear,Eyewear,"{'Sport Type': {'Cycling': 1}, 'Gender': {'Unisex': 1}}"
18,Ski Goggles Replaceable Magnetic Lenses UV400 Anti-fog Ski Mask Skiing Men Women Snow Snowboard Goggles Ski Glasses Eyewear,Eyewear,"{'Sport Type': {'Skiing': 1}, 'Lenses Optical Attribute': {'n/a': 1}}"
19,ZONEBIKE Cycling Glasses Men Women Polarized Bike Eyewear Outdoor Sports Bicycle Sunglasses Goggles 3 Lenses Fietsbrillen,Eyewear,"{'Brand Name': {'ZONEBIKE': 1}, 'Lenses Material': {'n/a': 1}, 'Lenses Optical Attribute': {'Polarized': 1}, 'Gender': {'n/a': 1}, 'Sport Type': {'Cycling': 1}}"
20,ROCKBROS Skiing Glasses Double-Layer Anti-Fog MTB Cycling Snow Snowboard Goggles Ski Mask Eyewear For Adults And Children,Eyewear,"{'Brand Name': {'ROCKBROS': 1}, 'Sport Type': {'Skiing': 1}}"
21,2018 Top Cycling Glasses 3 lens UV400 Bicycle Cycling Sunglasses Men/Women Sport Road Bike Cycling Eyewear Gafas ciclismo,Eyewear,"{'Lenses Optical Attribute': {'UV400': 1}, 'Frame Color': {'n/a': 1}, 'Sport Type': {'Cycling': 1}}"
22,Pro Photochromic Cycling Glasses Racing Bicycle Eyewear Polarized Mountain Bike Sun Glasses Cycling Sunglasses,Eyewear,"{'Sport Type': {'Cycling': 1}, 'Model Number': {'n/a': 1}}"
23,HD Ski Goggles Men Women UV-protection Glasses Anti-fog CyclingPOC Hiking Outdoor Sport Eyewear Snowboard Snowmobile Skiing Goggles,Eyewear,"{'Sport Type': {'Skiing': 1}, 'Gender': {'Men': 1}}"
24,POLISI Winter Skiing Skate Goggles Outdoor Sport UV400 Snowboard Eyewear Double Layer Anti-Fog Lens Ski Skateboard Snow Glasses,Eyewear,"{'Brand Name': {'POLISI': 1}, 'Lenses Optical Attribute': {'UV400': 1}, 'Lens Width': {'n/a': 1}, 'Frame Color': {'n/a': 1}, 'Sport Type': {'Skiing': 1}}"
