category,key,value,frequency
Eyewear,Brand Name,INBIKE,1
Eyewear,Brand Name,POLISI,28
Eyewear,Brand Name,MELIFE,5
Eyewear,Brand Name,WoSporT,7
Eyewear,Brand Name,ZONEBIKE,4
Eyewear,Brand Name,ROCKBROS,10
Eyewear,Brand Name,ROBESBON,4
Eyewear,Brand Name,Zacro,1
Eyewear,Brand Name,OSHOW,1
Eyewear,Brand Name,NEWBOLER,5
Eyewear,Brand Name,COPOZZ,2
Eyewear,Brand Name,PHMAX,2
Eyewear,Brand Name,OBAOLAY,5
Eyewear,Brand Name,Gurensye,1
Eyewear,Brand Name,KUTOOK,1
Eyewear,Brand Name,Anyfashion,1
Eyewear,Brand Name,Enkeeo,1
Eyewear,Brand Name,Balight,1
Eyewear,Brand Name,iguardor,1
Eyewear,Brand Name,WOSAWE,2
Eyewear,Brand Name,CoolChange,1
Eyewear,Brand Name,EYCI,1
Eyewear,Brand Name,Reedocks,1
Eyewear,Brand Name,Naga siren,1
Eyewear,Brand Name,SKTOO,1
Eyewear,Brand Name,ZOKARE,1
Eyewear,Brand Name,NANDN,1
Eyewear,Brand Name,LY-100,1
Eyewear,Brand Name,Long Keeper,1
Eyewear,Brand Name,Benice,2
Eyewear,Brand Name,SOARED,1
Eyewear,Brand Name,LumiParty,1
Eyewear,Brand Name,CYCFORCE,1
Eyewear,Brand Name,AGEKUSL,1
Eyewear,Brand Name,GEORGEM,1
Eyewear,Lenses Optical Attribute,Photochromic,2
Eyewear,Lenses Optical Attribute,Polarized,30
Eyewear,Lenses Optical Attribute,UV400,40
Eyewear,Lenses Optical Attribute,Anti-Fog,2
Eyewear,Lenses Optical Attribute,UV400 Protection,1
Eyewear,Lenses Optical Attribute,Goggle,3
Eyewear,Lenses Optical Attribute,-,6
Eyewear,Lenses Optical Attribute,Goggle Bike Eyewear,1
Eyewear,Lenses Optical Attribute,Skiing Eyewear,1
Eyewear,Lenses Optical Attribute,Skiing,1
Eyewear,Lenses Optical Attribute,UV Protection,1
Eyewear,Lenses Optical Attribute,UV,1
Eyewear,Lenses Optical Attribute,Anti-UV,1
Eyewear,Lenses Optical Attribute,Ski Eyewear,1
Eyewear,Lenses Optical Attribute,Myopic,1
Eyewear,Lenses Optical Attribute,Bike Goggles Sport,1
Eyewear,Lenses Optical Attribute,Goggles,1
Eyewear,Lenses Optical Attribute,Eye Protection,1
Eyewear,Lenses Optical Attribute,n,1
Eyewear,Gender,Unisex,14
Eyewear,Gender,Men,93
Eyewear,Gender,Boys,5
Eyewear,Gender,Women,14
Eyewear,Gender,Girls,1
Eyewear,Gender,Men &amp; Women,1
Eyewear,Model Number,Discoloration,2
Eyewear,Model Number,C108G,1
Eyewear,Model Number,Skiing Eyewear,10
Eyewear,Model Number,Cycling Eyewear,2
Eyewear,Model Number,Ski Goggles,4
Eyewear,Model Number,Sunglasses Outdoor Sport,1
Eyewear,Model Number,C102G,1
Eyewear,Model Number,Sunglasses,2
Eyewear,Model Number, Skiing Goggles,1
Eyewear,Model Number,Cycling Sunglasses,2
Eyewear,Model Number,Goggle,1
Eyewear,Model Number,C0020,1
