input,category,context,filter
 Running glasses 3 Lens fast Photochromic Cycling Sunglasses Goggles Men Sport Road Mtb Bike Discoloration Glasses Eyewear,Eyewear,Eyewear,"['Lenses Optical Attribute:Photochromic', 'Model Number:Discoloration', 'Sport Type:Cycling']"
INBIKE Unisex Multi UV400 Bicycle Glasses with Belt Sport Cycling Sunglasses Polarized Photochromic Eyewear Men Ciclismo Glasses,Eyewear,Eyewear INBIKE,"['Sport Type:Cycling', 'Gender:Unisex', 'Lenses Optical Attribute:Polarized', 'Frame Color:Multi', 'Name:Bicycle Glasses', 'Name:Sport Cycling Sunglasses', 'Name: Photochromic Eyewear Men']"
world wind #3001Unisex Cycling Sunglasses Polarized Cycling Eyewear,Eyewear,Eyewear,"['Sport Type:Cycling', 'Gender:Unisex']"
POLISI Men Women Ski Goggles Snow Skiing UV400 Spheral Anti-Fog Lens Eyewear Winter Windproof Snowboard Esqui Skate Glasses,Eyewear,Eyewear,"['Sport Type:Skiing', 'Lenses Optical Attribute:UV400', 'Gender:Men', 'Brand Name:POLISI']"
WUKUN Badman Outdoor Sport Polarized Glasses Alloy Frame Cycling Glasses Bike Goggles Riding Eyewear Oculos Gafas OO6020,Eyewear,Eyewear,"['Sport Type:Cycling', 'Frame Material:Alloy', 'Lenses Optical Attribute:Polarized']"
NEW Unisex Sport Sun Glasses Cycling Bicycle Bike Outdoor Eyewear Men Women Sunglasses  Goggle Gifts ,Eyewear,Eyewear,"['Gender:Men', 'Eyewear Type:Sunglasses']"
MELIFE Polarized UV400 Skiing Glasses Cycling Bike Eyewear Unisex Sports Sunglasses Fishing Men Outdoor Motocross Eyewear Goggle,Eyewear,Eyewear,"['Sport Type:Skiing', 'Brand Name:MELIFE', 'Lenses Optical Attribute:UV400']"
Peter Sagan Cycling Glasses Men Bicycle Sunglasses Women Big Frame Goggles Bike Eyewear Sports Glasses UV400 Gafas Ciclismo,Eyewear,Eyewear,"['Lenses Optical Attribute:UV400', 'Sport Type:Cycling']"
New Cycling Glasses Bike Eyewear Polarized Sports Sunglasses MTB Bicycle Goggles Riding Fishing Cycling Eyewear Myopia C108G,Eyewear,Eyewear C108G,"['Lenses Optical Attribute:Polarized', 'Sport Type:Cycling']"
2018 Bestselling Cycling Glasses UV 400 Mountain Bike Eyewear Sports Sunglasses Bicycle Goggles Drop Shipping  Available,Eyewear,Eyewear,['Sport Type:Cycling']
WoSporT Men Women Ski Goggles UV 400 Anti-Fog Ski Eyewear Winter Snowboard Glasses Skiing Goggles Snowboarding Glasses,Eyewear,Eyewear,"['Sport Type:Skiing', 'Gender:Men', 'Brand Name:WoSporT']"
VICTGOAL Polarized Cycling Glasses UV400 Outdoor Sport Men Women Running Cycling Sunglasses Mountain Bike Eyewear 5 Lens Goggles,Eyewear,Eyewear,"['Sport Type:Cycling', 'Gender:Men', 'Function:Cycling Glasses']"
Snowboard Ski Goggles Men Women Anti-fog Snow Glasses Eyewear gafas snow okulary narciarskie Skiing Snowboard Goggles Glasses,Eyewear,Eyewear,"['Sport Type:Skiing', 'Gender:Men']"
